Lat,Lon,sdate,daten,JulianD,r2r_event,Cast,BottleNo,depth_nominal,depth,pressure,temp1,potTemp1,sal1,density1,sigmaT1,cond1,temp2,potTemp2,sal2,density2,sigmaT2,cond2,oxsat1_umol_perkg,oxconc_mL_perL,oxconc_umol_perkg,oxsat_mL_perL,oxsat2_umol_perkg,PAR,surface_par,beam_cp,Chl_F,beta,turb,Chl_F_raw,beta_raw,particle_conc_raw,beam_cp_raw,tempDiff,salDiff,condDiff,scan,PO4,PO4_kg-1,PO4_Flag,SiO4,SiO4_kg-1,SiO4_Flag,NO2_NO3,NO2_NO3_Kg-1,NO2_NO3 Flag,NO2,NO2_kg-1,NO2_flag,NO3,NO3_kg-1,NO3_flag,CHLA
degrees,degrees,string date,dimensionless,dimensionless,dimensionless,dimensionless,dimensionless,m,m,db,deg C,deg C,PSU,kg m-3,kg m-3,uS cm-1,deg C,deg C,kg m-3,kg m-3,kg m-3,uS cm-1,umol kg-1,mL L-1,umol kg-1,mL L-1,umol kg-1,umol photon m-2 s-1,umol photon m-2 s-1,m-1,dimensionless,m-1 sr-1,NTU,V,V,V,V,deg C,PSU,uS cm-1,dimensionless,umol L-1,umol kg-1,[1 = good; 2= subjectively bad; 3=below detection limit; 9=not collected],umol L-1,umol kg-1,[1 = good; 2= subjectively bad; 3=below detection limit; 9=not collected],umol L-1,umol kg-1,[1 = good; 2= subjectively bad; 3=below detection limit; 9=not collected],umol L-1,umol kg-1,[1 = good; 2= subjectively bad; 3=below detection limit; 9=not collected],umol L-1,umol kg-1,[1 = good; 2= subjectively bad; 3=below detection limit; 9=not collected],ug L-1
50.0945,-145.0483,14/08/2018 04:45,737286.1985,226.1985,RR1813-SE-20180814.0350.001,1,1,500,504.487,509.48,3.9004,3.8645,34.111,1029.4533,27.0928,31947,3.9003,3.8645,34.1111,1029.4533,27.0928,31947,318.488,0.8863,38.537,7.3246,318.4879,0.060765,-0.0677,-0.0336,25.294,-9999,-9999,0.0451,-9999,1.1442,4.5727,-0.0001,-0.0002,-0.30882,18774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:46,737286.1988,226.1988,RR1813-SE-20180814.0350.001,1,2,500,503.616,508.599,3.9003,3.8644,34.11,1029.4484,27.092,31946,3.9001,3.8644,34.1099,1029.4483,27.0919,31945,318.4917,0.8868,38.56,7.3247,318.4918,0.056658,-0.0519,-0.0331,25.294,-9999,-9999,0.0531,-9999,1.0835,4.5722,-0.0002,-0.0003,-0.38447,19359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:46,737286.199,226.199,RR1813-SE-20180814.0350.001,1,3,500,504.204,509.195,3.9002,3.8643,34.1101,1029.4512,27.0921,31946,3.9002,3.8643,34.1103,1029.4513,27.0922,31946,318.4921,0.8834,38.41,7.3247,318.4918,0.060535,-0.0669,-0.0327,25.294,-9999,-9999,0.0456,-9999,1.0836,4.5716,0,-0.0003,-0.23903,19873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:46,737286.1992,226.1992,RR1813-SE-20180814.0350.001,1,4,500,503.988,508.975,3.9008,3.8649,34.1105,1029.4505,27.0923,31947,3.9005,3.8649,34.1104,1029.4504,27.0922,31947,318.4867,0.883,38.395,7.3246,318.4869,0.063136,-0.0652,-0.0334,25.294,-9999,-9999,0.0464,-9999,1.1432,4.5725,-0.0003,-0.0001,-0.31856,20238,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:47,737286.1994,226.1994,RR1813-SE-20180814.0350.001,1,5,500,504.023,509.011,3.9004,3.8645,34.1104,1029.4506,27.0923,31946,3.9005,3.8645,34.1104,1029.4506,27.0923,31946,318.4899,0.8835,38.416,7.3246,318.4898,0.062038,-0.0321,-0.0335,21.078,-9999,-9999,0.0629,-9999,1.1546,4.5726,0.0001,-0.0004,-0.19235,20647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:47,737286.1996,226.1996,RR1813-SE-20180814.0350.001,1,6,500,503.493,508.475,3.9005,3.8647,34.1106,1029.4483,27.0924,31947,3.9004,3.8647,34.1106,1029.4483,27.0924,31946,318.4884,0.8833,38.409,7.3246,318.4885,0.063831,-0.0472,-0.0335,21.078,-9999,-9999,0.0554,-9999,1.0836,4.5726,-0.0001,-0.0004,-0.42595,20994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:47,737286.1997,226.1997,RR1813-SE-20180814.0350.001,1,7,500,503.988,508.976,3.9008,3.8649,34.1106,1029.4505,27.0924,31947,3.9005,3.8649,34.1106,1029.4505,27.0924,31947,318.4865,0.8835,38.415,7.3246,318.4866,0.060948,-0.0649,-0.0336,21.078,-9999,-9999,0.0465,-9999,1.0837,4.5727,-0.0003,0,-0.24079,21355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:47,737286.1999,226.1999,RR1813-SE-20180814.0350.001,1,8,500,502.997,507.974,3.9005,3.8647,34.111,1029.4462,27.0927,31947,3.9007,3.8647,34.1109,1029.4462,27.0926,31946,318.4875,0.8832,38.402,7.3246,318.4878,0.064227,-0.0383,-0.0335,21.078,-9999,-9999,0.0599,-9999,1.1507,4.5726,0.0002,-0.0005,-0.31415,21707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:48,737286.2001,226.2001,RR1813-SE-20180814.0350.001,1,9,500,505.604,510.609,3.9001,3.8641,34.1115,1029.4589,27.0932,31948,3.8997,3.8641,34.1114,1029.4588,27.0931,31947,318.4891,0.8833,38.406,7.3246,318.4896,0.058906,-0.0535,-0.0335,21.078,-9999,-9999,0.0523,-9999,1.0835,4.5726,-0.0004,-0.0001,-0.46209,22057,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:53,737286.204,226.204,RR1813-SE-20180814.0350.001,1,10,330,333.349,336.508,4.236,4.212,33.9302,1028.4727,26.9132,32012,4.236,4.212,33.9301,1028.4727,26.9132,32011,316.305,1.5621,67.935,7.2731,316.3051,0.057963,-0.0506,-0.0306,21.078,-9999,-9999,0.0537,-9999,1.0836,4.5692,-0.0001,-0.0007,-0.67382,30115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
50.0945,-145.0483,14/08/2018 04:53,737286.2041,226.2041,RR1813-SE-20180814.0350.001,1,11,330,334.129,337.296,4.2383,4.2141,33.9307,1028.4766,26.9134,32014,4.239,4.2141,33.9308,1028.4766,26.9135,32014,316.2863,1.5614,67.907,7.2727,316.2862,0.06093,-0.0518,-0.0305,21.078,-9999,-9999,0.0531,-9999,1.1202,4.5692,0.0007,-0.0006,0.10664,30444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
