QE.File.Name,Station,Water.depth..m.,Day, Depth_Nut, Cast_Nut, RosPos_Nut, PO4, NO3+NO2, SiO4, LLN, LLP, Heterotrophic_Bacteria, Prochlorococcus, Synechococcus, Eukaryotes,Time, Latitude, Longitude, Depth, Cast, RosPos, CTD_Temperature, CTD_Salinity, CTD_Oxygen, CTD_Chloropigment, Potential_Temperature, Potential_Density, Bottle_Oxygen, DIC, Alkalinity, pH, PC, PN, PP, PSi, Chlorophyll, Pheopigment,Mixed_Layer_depth,Is_DMC,In_Mixed_Layer
QE005982,10,100,30-Jun,98.4,1,12,0.09,0,,0,0.09,4.039,1.481,0.004,0.014,2017-07-01T07:01:15,25.432,-158.327,99.8,2,14,21.345,35.195,213.3,0.6238,21.326,24.5547,,,,,,,,,,,29,FALSE,FALSE
QE005992,10,110,30-Jun,122.9,1,10,0.12,0,,0.49,0.11,3.6,0.901,0,0.036,2017-07-01T06:58:15,25.432,-158.327,109.8,2,9,20.743,35.172,207,0.7648,20.722,24.7016,,2038.7,2314,8.002,1.71,0.28,,,0.22,0.46,29,TRUE,FALSE
QE005988,10,125,30-Jun,123.9,1,8,0.12,0.61,,,0.13,3.334,0.901,0,0.036,2017-07-01T06:56:04,25.432,-158.327,124.2,2,7,19.79,35.045,200.6,0.4382,19.767,24.8585,,,,,,,,,,,29,FALSE,FALSE
QE005977,10,15,30-Jun,14.7,1,23,0.04,0,,0,0.04,4.543,1.529,0.011,0.008,2017-07-01T07:09:40,25.432,-158.327,16.4,2,22,25.898,35.225,208,0.0915,25.894,23.238,,2004.6,2321,8.066,4.42,0.27,,,0.05,0.03,29,FALSE,TRUE
QE005989,10,175,30-Jun,174.3,1,5,0.19,1.88,,,0.2,2.004,0.044,0,0.003,2017-07-01T06:50:52,25.432,-158.327,174.3,2,4,18.184,34.939,210,0.1096,18.154,25.1884,,2051.2,2290,7.954,0.62,0.12,,,0.03,0.06,29,FALSE,FALSE
QE005980,10,75,30-Jun,74,1,13,0.06,0,,0,0.04,4.875,1.931,0.012,0.012,2017-07-01T07:03:40,25.432,-158.327,74.8,2,16,22.658,35.23,218.9,0.2116,22.643,24.2122,,,,,0.88,0.14,,,0.1,0.08,29,FALSE,FALSE
QE006004,11,100,1-Jul,100.1,1,16,0.06,0,,0,0.07,4.74,2.225,0.011,0.035,2017-07-01T12:01:37,25.188,-158.428,99.9,2,14,21.046,35.167,213,0.8199,21.027,24.6152,,,,,,,,,,,32,FALSE,FALSE
QE006015,11,110,1-Jul,108.2,1,15,0.09,0,,0.07,0.09,5.241,2.215,0.002,0.055,2017-07-01T11:59:29,25.188,-158.428,109.6,2,12,20.643,35.152,210.1,0.8669,20.622,24.7132,,2038.1,2315,7.997,1.84,0.32,,,0.23,0.52,32,TRUE,FALSE
QE006008,11,125,1-Jul,125.1,1,12,0.13,0.72,,,0.14,3.118,0.756,0,0.028,2017-07-01T11:56:47,25.188,-158.428,124.2,2,7,19.919,35.084,209.9,0.5572,19.896,24.8545,,,,,,,,,,,32,FALSE,FALSE
QE005999,11,15,1-Jul,14.9,1,23,0.04,0,,0,0.04,4.992,1.818,0.013,0.011,2017-07-01T12:10:54,25.188,-158.428,15.7,2,23,26.27,35.202,205.8,0.0949,26.266,23.1043,,2003.1,2317,8.068,7.48,0.38,,,0.04,0.03,32,FALSE,TRUE
QE006013,11,175,1-Jul,173.8,1,8,0.32,3.69,,,0.33,1.693,0.014,0,0.002,2017-07-01T11:51:10,25.188,-158.428,174.7,2,4,17.177,34.785,207.8,0.0953,17.148,25.315,,2054,2284,7.932,0.61,0.1,,,0.02,0.05,32,FALSE,FALSE
QE006025,12,100,1-Jul,99.8,2,10,0.16,,,0.8,0.16,5.35,1.244,0.004,0.051,2017-07-01T16:18:49,24.86,-158.568,99.1,1,14,18.07,34.897,227.9,0.9877,18.053,25.1812,,,,,2.79,0.43,,,,,38,FALSE,FALSE
QE006037,12,103,1-Jul,97.6,2,12,0.09,0,,0.06,0.1,6.075,2.22,0.023,0.033,2017-07-01T16:17:25,24.86,-158.568,102.9,1,12,17.999,34.889,226.9,1.0816,17.981,25.1927,,2042.9,2293,7.963,,,,,0.25,0.49,38,TRUE,FALSE
QE006029,12,125,1-Jul,125.5,2,9,0.29,3.03,,,0.3,2.942,0.531,0,0.022,2017-07-01T16:14:11,24.86,-158.568,124.9,1,7,16.743,34.728,208,0.5745,16.723,25.3719,,,,,,,,,,,38,FALSE,FALSE
QE006019,12,15,1-Jul,14.9,2,18,0.02,0,,0,0.02,4.896,1.962,0.013,0.01,2017-07-01T16:26:38,24.86,-158.568,15.7,1,22,26.005,35.388,206.6,0.0984,26.001,23.3276,,2021.2,2333,8.025,2.31,0.28,,,0.07,0.05,38,FALSE,TRUE
QE006031,12,175,1-Jul,174.2,2,5,0.5,6.48,,,0.53,1.584,0.008,0,0,2017-07-01T16:09:53,24.86,-158.568,174,1,4,14.445,34.426,203.9,0.0616,14.419,25.6556,,2040,2319,7.855,0.68,0.09,,,0.01,0.02,38,FALSE,FALSE
QE006020,12,75,1-Jul,74.5,2,14,0.06,0,,0,0.06,6.153,2.737,0.025,0.015,2017-07-01T16:21:04,24.86,-158.568,75.2,1,16,19.958,35.034,237.7,0.2149,19.944,24.8037,,2025.5,2304,8.009,1.82,0.28,,,0.13,0.09,38,FALSE,FALSE
QE006048,13,100,1-Jul,101.2,1,8,0.09,0,,0.03,0.09,4.497,1.243,0.002,0.03,2017-07-02T00:33:38,24.472,-158.719,100.5,2,14,21.329,35.177,214,0.4147,21.309,24.5454,,,,,,,,,,,27,FALSE,FALSE
QE006059,13,112,1-Jul,103.4,1,7,0.09,0,,0.03,0.1,4.548,1.137,0.002,0.032,2017-07-02T00:30:31,24.472,-158.719,109.6,2,9,20.769,35.063,199,0.8926,20.748,24.6115,,2051.3,2308,7.971,1.75,0.29,,,0.28,0.5,27,TRUE,FALSE
QE006050,13,125,1-Jul,124.3,1,6,0.26,2.23,,,0.27,2.709,0.48,0,0.019,2017-07-02T00:28:00,24.472,-158.719,121.7,2,7,20.182,34.991,190.9,0.6524,20.159,24.7141,,,,,,,,,,,27,FALSE,FALSE
QE006039,13,15,1-Jul,14.5,1,23,0.04,0,,0,0.05,4.885,1.525,0.009,0.008,2017-07-02T00:53:01,24.472,-158.719,16,2,23,26.629,35.101,205.1,0.0619,26.625,22.915,,1992.4,2317,8.073,2.25,0.27,,,-0.07,0.16,27,FALSE,TRUE
QE006053,13,175,1-Jul,173.2,1,4,0.3,3.3,,,0.31,1.82,0.018,0,0.001,2017-07-02T00:22:13,24.472,-158.719,173.5,2,4,17.658,34.808,201.4,0.1461,17.628,25.2169,,2060,2290,7.924,0.63,0.12,,,0.04,0.1,27,FALSE,FALSE
QE006071,14,100,1-Jul,99.7,1,12,0.09,0,,0.01,0.1,3.496,1.221,0.004,0.015,2017-07-02T07:00:18,24,-158.918,100.4,2,14,22.86,35.126,206,0.5686,22.839,24.0769,,,,,,,,,,,39,FALSE,FALSE
QE006081,14,105,1-Jul,104.8,1,10,0.1,0,,0.02,0.11,3.31,1.08,0.001,0.032,2017-07-02T06:58:48,24,-158.918,104.4,2,12,22.731,35.138,204.6,0.7632,22.71,24.1232,,2025,2318,8.029,1.46,0.24,,,0.27,0.59,39,TRUE,FALSE
QE006073,14,125,1-Jul,124.6,1,8,0.17,0.82,,,0.18,2.362,0.521,0,0.015,2017-07-02T06:55:48,24,-158.918,124.9,2,7,22.276,35.136,197.1,0.5429,22.251,24.2521,,,,,,,,,,,39,FALSE,FALSE
QE006061,14,15,1-Jul,14,1,16,0.06,0,,0,0.06,4.705,1.478,0.008,0.006,2017-07-02T07:09:06,24,-158.918,15.2,2,22,26.375,34.929,206.4,0.1009,26.372,22.8654,,1988.6,2304,8.069,2.07,0.26,,,0.05,0.03,39,FALSE,TRUE
QE006076,14,175,1-Jul,173.7,1,5,0.13,1,,,0.14,2.392,0.075,0,0.003,2017-07-02T06:51:06,24,-158.918,174.3,2,4,20.448,35.158,205.7,0.1713,20.415,24.7733,,2045.6,2311,7.989,0.78,0.14,,,0.04,0.12,39,FALSE,FALSE
QE006064,14,75,1-Jul,75.4,1,13,0.07,0,,0,0.07,4.193,1.871,0.016,0.01,2017-07-02T07:02:47,24,-158.918,75.5,2,16,24.052,35.029,214.7,0.2325,24.036,23.6544,,2000.6,2308,8.06,1.52,0.22,,,,,39,FALSE,FALSE
QE005270,5,100,29-Jun,99.9,2,16,0.09,0,,0,0.08,4.074,1.771,0.01,0.013,2017-06-29T22:46:35,27.18,-157.607,99.9,1,14,22.242,35.232,215.7,0.3258,22.222,24.3332,,,,,,,,,,,32,FALSE,FALSE
QE005280,5,122,29-Jun,115,2,15,0.07,0,,0.01,0.08,4.062,1.377,0.002,0.025,2017-06-29T22:43:33,27.18,-157.607,121.4,1,12,20.964,35.115,203.7,0.723,20.941,24.599,,2042.6,2312,7.989,1.45,0.25,,,0.25,0.52,32,TRUE,FALSE
QE005275,5,125,29-Jun,124.2,2,12,0.17,0.9,,,0.17,3.302,0.729,0,0.027,2017-06-29T22:39:42,27.18,-157.607,124.6,1,7,20.912,35.121,205.2,0.6805,20.888,24.6178,,,,,,,,,,,32,FALSE,FALSE
