QE_file_number,Cast # ,Sample ,Bottle_Position,Date_Time,lat,long,Mixed_Layer_Depth_Crit3,In_Mixed_Layer,CTD_Tempurature,Sal00,Sal11,Sigma-t00,Sigma-t11,OxsatMm/Kg,DepSM,PrDM,T090C,T190C,C0S/m,C1S/m,Par,Sbeox0Mm/Kg,CStarTr0,FlECO-AFL,Type
QE009604,1,.22GV17,4,Nov 13 2018,64.81986667,64.03863333,33,FALSE,-1.23735,33.9019,33.9157,27.272,27.2825,364.42285,40.812,41.219,-1.2475,-1.2272,2.71909,2.721773,3.63E+00,309.085,-1.2547,1.0213,(avg)
QE009492,1,.22GV18,3,Nov 13 2018,64.81986667,64.03863333,33,FALSE,-0.1977,34.2727,34.2785,27.5293,27.5334,353.31662,60.315,60.92,-0.2035,-0.1919,2.834508,2.835918,1.08E+00,252.9,-1.2547,0.2535,(avg)
QE009408,1,.22GV19,2,Nov 13 2018,64.81986667,64.03863333,33,FALSE,0.33105,34.4354,34.4364,27.6323,27.6334,347.8921,100.025,101.039,0.3338,0.3283,2.894184,2.893788,1.45E-01,227.614,-1.2547,0.0459,(avg)
QE009565,1,.22GV20,6,Nov 13 2018,64.81986667,64.03863333,33,TRUE,-1.343,33.7006,33.7028,27.1117,27.1136,365.92712,1.643,1.659,-1.3419,-1.3441,2.694876,2.694861,1.49E+02,338.774,-1.2547,1.1894,(avg)
QE009627,1,.22GV21,1,Nov 13 2018,64.81986667,64.03863333,33,FALSE,0.89385,34.5739,34.5772,27.7097,27.7125,342.46069,250.562,253.194,0.8944,0.8933,2.959741,2.959899,1.00E-12,204.114,-1.2547,-0.0378,(avg)
QE009527,1,.22GV22,5,Nov 13 2018,64.81986667,64.03863333,33,TRUE,-1.3764,33.7681,33.7693,27.1676,27.1685,366.08776,20.621,20.826,-1.377,-1.3758,2.697769,2.697952,1.94E+01,332.462,-1.2547,1.6463,(avg)
QE009502,2,.22GV23,3,Nov 13 2018,64.94956667,63.6975,62,FALSE,0.20065,34.3511,34.3498,27.5714,27.5709,349.28821,99.981,100.995,0.2063,0.195,2.876933,2.875873,0.27792,231.898,96.9741,0.1458,(avg)
QE009480,2,.22GV24,1,Nov 13 2018,64.94956667,63.6975,62,FALSE,1.06645,34.6069,34.6093,27.7249,27.727,340.84135,254.244,256.92,1.0671,1.0658,2.977344,2.977419,1.00E-12,194.639,97.3482,-0.0522,(avg)
QE009404,2,.22GV25,2,Nov 13 2018,64.94956667,63.6975,62,FALSE,0.72585,34.5127,34.5152,27.6712,27.6732,344.12777,149.749,151.286,0.7261,0.7256,2.935917,2.936073,0.0042649,208.419,97.276,-0.0068,(avg)
QE009393,2,.22GV26,4,Nov 13 2018,64.94956667,63.6975,62,TRUE,-0.3484,34.0945,34.0966,27.3922,27.3939,355.16168,59.809,60.41,-0.3478,-0.349,2.809026,2.809077,2.5715,263.948,95.5128,0.5345,(avg)
QE009555,2,.22GV27,7,Nov 13 2018,64.94956667,63.6975,62,TRUE,-0.6021,33.9843,33.9868,27.3143,27.3164,357.87961,20.549,20.753,-0.6009,-0.6033,2.777854,2.777837,34.377,284.468,94.6229,0.9753,(avg)
QE009586,2,.22GV28,5,Nov 13 2018,64.94956667,63.6975,62,TRUE,-0.4185,34.0698,34.0722,27.3754,27.3774,355.90516,50.349,50.854,-0.4189,-0.4181,2.800782,2.801032,4.5322,268.998,95.3225,0.6858,(avg)
QE009405,2,.22GV29,6,Nov 13 2018,64.94956667,63.6975,62,TRUE,-0.5882,33.9931,33.9957,27.3209,27.3231,357.72801,35.588,35.943,-0.5876,-0.5888,2.780309,2.780406,11.599,283.735,94.8703,0.9879,(avg)
